species,latitude,longitude,country,date
Gallotia,29.157438,-13.431705,Spain,2025-01-01T14:39:59Z
Gallotia,27.679537,-15.497489,Spain,2025-01-01T12:06Z
Gallotia,28.00998,-15.724582,Spain,2025-01-03T13:40:21Z
Gallotia,28.117675,-15.758494,Spain,2025-01-03T13:42:13Z
Gallotia,28.52567,-14.005438,Spain,2025-01-03T13:20Z
Gallotia,28.460133,-17.850492,Spain,2025-01-04T14:17:40Z
Gallotia,28.057256,-16.721884,Spain,2025-01-04T16:51Z
Gallotia,28.75055,-13.822814,Spain,2025-01-04T13:08:17Z
Gallotia,28.77221,-17.766391,Spain,2025-01-05T14:06:43Z
Gallotia,28.812733,-17.779926,Spain,2025-01-06T14:42:50Z
Gallotia,28.796327,-17.794371,Spain,2025-01-06T10:00:13Z
Gallotia,28.164688,-14.221788,Spain,2025-01-07T10:22:55Z
Gallotia,28.832665,-17.847842,Spain,2025-01-07T12:02:20Z
Gallotia,28.739536,-17.745954,Spain,2025-01-08
Gallotia,28.694252,-17.782625,Spain,2025-01-08T13:38:26Z
Gallotia,28.263408,-16.588572,Spain,2025-01-08T12:59:46Z
Gallotia,28.482938,-17.851508,Spain,2025-01-09T13:22:10Z
Gallotia,28.186071,-14.168441,Spain,2025-01-09
Gallotia,28.759934,-17.869424,Spain,2025-01-09T10:55:45Z
Gallotia,28.793523,-17.926415,Spain,2025-01-09T16:45:39Z
Gallotia,28.79194,-17.926741,Spain,2025-01-09T16:28:56Z
Gallotia,28.75995,-17.862379,Spain,2025-01-09T13:49:13Z
Gallotia,28.645191,-17.758273,Spain,2025-01-10T13:16:30Z
Gallotia,28.742397,-13.825887,Spain,2025-01-10T15:10:03Z
Gallotia,28.451458,-16.255092,Spain,2025-01-10T14:16:41Z
Gallotia,28.135253,-15.664917,Spain,2025-01-10T13:14Z
Gallotia,28.19228,-15.412659,Spain,2025-01-09T14:29Z
Gallotia,28.452295,-16.256355,Spain,2025-01-10
Gallotia,28.388704,-14.099982,Spain,2025-01-10T12:43:43Z
Gallotia,28.182927,-14.164875,Spain,2025-01-09T13:27:21Z
Gallotia,28.693306,-17.899323,Spain,2025-01-12T14:25:05Z
Gallotia,28.653634,-17.780667,Spain,2025-01-11T13:07Z
Gallotia,28.737544,-13.821919,Spain,2025-01-13T13:45:26Z
Gallotia,28.305292,-16.566895,Spain,2025-01-11T15:28:40Z
Gallotia,28.651517,-17.774161,Spain,2025-01-14T09:52Z
Gallotia,27.952124,-15.562299,Spain,2025-01-12T14:55:33Z
Gallotia,28.569851,-16.158518,Spain,2025-01-17T14:51:01Z
Gallotia,28.36693,-16.722095,Spain,2025-01-15T13:02:56Z
Gallotia,28.227338,-16.637925,Spain,2025-01-19T15:25:45Z
Gallotia,28.227378,-16.637971,Spain,2025-01-19T15:21:06Z
Gallotia,28.644636,-17.811176,Spain,2025-01-17T16:24Z
Gallotia,28.718479,-17.928218,Spain,2025-01-17T15:33Z
Gallotia,28.607059,-17.92319,Spain,2025-01-17T15:32Z
Gallotia,28.653748,-17.834286,Spain,2025-01-17T15:24Z
Gallotia,28.609991,-17.824059,Spain,2025-01-17T14:57Z
Gallotia,28.690815,-17.903294,Spain,2025-01-17T14:57Z
Gallotia,28.742015,-17.979456,Spain,2025-01-17T14:55Z
Gallotia,28.710609,-17.945134,Spain,2025-01-17T14:53Z
Gallotia,28.730886,-17.984647,Spain,2025-01-17T14:52Z
Gallotia,28.725085,-17.941387,Spain,2025-01-17T14:47Z
Gallotia,28.048689,-16.577707,Spain,2025-01-20T10:48:38Z
Gallotia,28.398492,-16.555491,Spain,2025-01-17T11:21Z
Gallotia,28.238529,-16.84506,Spain,2025-01-20T14:29:40Z
Gallotia,28.371372,-16.770113,Spain,2025-01-03T12:54Z
Gallotia,28.371372,-16.770113,Spain,2025-01-03T12:56Z
Gallotia,28.371188,-16.870567,Spain,2025-01-03T15:14Z
Gallotia,28.361273,-16.89508,Spain,2025-01-20T13:42Z
Gallotia,28.050751,-15.48377,Spain,2025-01-21T12:44:18Z
Gallotia,28.738078,-13.818328,Spain,2025-01-23T12:28:37Z
Gallotia,28.416878,-16.519357,Spain,2025-01-06T13:00Z
Gallotia,28.417943,-16.51876,Spain,2025-01-06T13:08Z
Gallotia,28.418944,-16.518252,Spain,2025-01-06T13:13Z
Gallotia,28.009155,-16.664016,Spain,2025-01-23T12:38Z
Gallotia,27.742316,-15.563732,Spain,2025-01-23T13:42:17Z
Gallotia,28.269791,-16.642859,Spain,2025-01-25T14:40:54Z
Gallotia,28.361725,-16.814887,Spain,2025-01-25T11:13:19Z
Gallotia,28.037011,-16.70005,Spain,2025-01-25T20:25:40Z
Gallotia,28.375897,-16.808257,Spain,2025-01-26T12:56:18Z
Gallotia,27.769615,-15.473208,Spain,2025-01-26T11:45:21Z
Gallotia,28.372481,-16.769689,Spain,2025-01-07T14:37:05Z
Gallotia,28.651931,-17.773367,Spain,2025-01-02T11:20Z
Gallotia,28.651633,-17.774094,Spain,2025-01-10T09:59Z
Gallotia,28.548929,-16.264989,Spain,2025-01-26T13:05:07Z
Gallotia,28.554094,-16.263978,Spain,2025-01-26T13:54:58Z
Gallotia,28.554053,-16.263964,Spain,2025-01-26T14:37:09Z
Gallotia,28.201968,-17.253808,Spain,2025-01-27T11:46Z
Gallotia,28.301237,-16.371858,Spain,2025-01-23T13:38Z
Gallotia,28.039278,-16.697832,Spain,2025-01-25T20:28Z
Gallotia,28.55376,-16.265792,Spain,2025-01-26T13:03Z
Gallotia,28.651764,-17.773917,Spain,2025-01-02T11:38Z
Gallotia,28.526419,-16.280645,Spain,2025-01-25T11:13Z
Gallotia,28.451762,-16.256516,Spain,2025-01-25T16:57Z
Gallotia,28.312815,-16.370957,Spain,2025-01-26T12:59Z
Gallotia,28.417843,-16.552691,Spain,2025-01-27T10:51Z
Gallotia,27.723272,-15.549529,Spain,2025-01-25T11:44:52Z
Gallotia,28.304575,-16.566422,Spain,2025-01-24T12:47Z
Gallotia,28.381058,-16.571424,Spain,2025-01-25T12:55Z
Gallotia,28.299212,-16.372669,Spain,2025-01-23T16:32Z
Gallotia,28.390834,-16.626749,Spain,2025-01-28T12:13:38Z
Gallotia,28.365328,-16.887119,Spain,2025-01-26T15:32Z
Gallotia,28.750956,-17.890975,Spain,2025-01-14T18:53Z
Gallotia,28.603022,-17.802945,Spain,2025-01-14T18:34Z
Gallotia,28.756086,-17.86732,Spain,2025-01-14T17:54Z
Gallotia,28.605373,-17.829328,Spain,2025-01-14T17:34Z
Gallotia,28.553198,-16.265135,Spain,2025-01-26T13:54:58Z
Gallotia,28.568102,-16.308584,Spain,2025-01-26T10:50Z
Gallotia,28.387595,-16.628565,Spain,2025-01-29T10:30Z
Gallotia,28.416657,-16.529705,Spain,2025-01-11T10:49Z
Gallotia,28.415804,-16.525001,Spain,2025-01-12T10:27Z
Gallotia,28.342645,-16.856588,Spain,2025-01-26T09:51:21Z
Gallotia,28.417056,-16.522627,Spain,2025-01-14T12:35Z
Gallotia,28.416442,-16.531801,Spain,2025-01-16T14:41Z
Gallotia,29.00285,-13.547044,Spain,2025-01-27T12:51:45Z
Gallotia,28.9889,-13.817544,Spain,2025-01-28T13:04:07Z
Gallotia,29.039464,-13.734714,Spain,2025-01-31T14:39:04Z
Gallotia,28.410562,-16.547919,Spain,2025-01-18T11:10Z
Gallotia,28.414478,-16.532139,Spain,2025-01-25T11:58Z
Gallotia,28.412767,-16.559116,Spain,2025-01-26T16:12Z
Gallotia,28.679306,-17.914372,Spain,2025-01-14T16:46Z
Gallotia,28.615623,-17.941636,Spain,2025-01-14T16:45Z
Gallotia,28.415914,-16.528665,Spain,2025-01-27T11:53Z
Gallotia,28.613223,-17.675128,Spain,2025-01-11T13:00Z
Gallotia,28.410708,-16.548249,Spain,2025-01-31T14:45Z
Gallotia,28.413911,-16.55853,Spain,2025-01-31T17:48Z
Gallotia,28.304497,-16.568782,Spain,2025-01-25T16:50Z
Gallotia,28.330404,-16.857133,Spain,2025-01-27T14:39Z
Gallotia,27.629022,-15.584448,Spain,2025-01-28T12:47Z
Gallotia,28.285227,-16.766104,Spain,2025-01-28T13:51Z
Gallotia,28.558624,-16.264923,Spain,2025-01-01
Gallotia,28.04832,-16.578383,Spain,2025-01-02
Gallotia,28.037507,-16.548328,Spain,2025-01-02
Gallotia,28.474967,-17.851853,Spain,2025-01-03
Gallotia,28.472105,-16.446982,Spain,2025-01-03
Gallotia,28.472103,-16.44693,Spain,2025-01-03
Gallotia,28.472106,-16.44697,Spain,2025-01-03
Gallotia,28.415778,-16.528635,Spain,2025-01-04
Gallotia,28.026373,-16.703417,Spain,2025-01-04
Gallotia,28.026389,-16.703437,Spain,2025-01-04
Gallotia,28.027224,-16.704268,Spain,2025-01-04
Gallotia,28.02807,-16.704408,Spain,2025-01-04
Gallotia,28.028208,-16.704492,Spain,2025-01-04
Gallotia,28.029187,-16.704388,Spain,2025-01-04
Gallotia,28.030246,-16.704162,Spain,2025-01-04
Gallotia,28.031361,-16.705572,Spain,2025-01-04
Gallotia,28.029735,-16.704738,Spain,2025-01-04
Gallotia,28.376698,-16.626165,Spain,2025-01-05
Gallotia,28.031667,-16.544444,Spain,2025-01-06
Gallotia,28.401362,-16.580686,Spain,2025-01-06
Gallotia,28.401357,-16.580687,Spain,2025-01-06
Gallotia,28.411315,-16.547683,Spain,2025-01-06
Gallotia,28.826742,-17.950862,Spain,2025-01-08
Gallotia,27.737055,-15.602585,Spain,2025-01-08
Gallotia,28.372225,-16.76545,Spain,2025-01-08
Gallotia,27.744008,-15.596758,Spain,2025-01-08
Gallotia,28.316278,-16.367472,Spain,2025-01-09
Gallotia,28.57009,-16.320443,Spain,2025-01-09
Gallotia,28.395737,-16.651645,Spain,2025-01-09
Gallotia,28.458156,-16.463907,Spain,2025-01-09
Gallotia,27.930954,-15.75012,Spain,2025-01-09
Gallotia,28.305097,-16.56557,Spain,2025-01-09
Gallotia,28.305287,-16.565505,Spain,2025-01-09
Gallotia,28.305392,-16.567023,Spain,2025-01-09
Gallotia,28.567962,-16.320443,Spain,2025-01-11
Gallotia,28.568626,-16.32081,Spain,2025-01-11
Gallotia,28.568626,-16.32081,Spain,2025-01-11
Gallotia,28.568626,-16.32081,Spain,2025-01-11
Gallotia,28.409583,-16.538575,Spain,2025-01-11
Gallotia,27.813332,-15.582101,Spain,2025-01-11
Gallotia,27.885296,-15.534465,Spain,2025-01-11
Gallotia,28.256342,-16.623907,Spain,2025-01-12
Gallotia,28.823059,-17.893583,Spain,2025-01-12
Gallotia,28.400187,-16.673183,Spain,2025-01-12
Gallotia,28.400187,-16.673183,Spain,2025-01-12
Gallotia,27.958752,-15.41724,Spain,2025-01-12
Gallotia,27.958631,-15.417321,Spain,2025-01-12
Gallotia,28.314562,-16.59591,Spain,2025-01-12
Gallotia,28.043966,-16.70905,Spain,2025-01-12
Gallotia,27.966452,-15.584447,Spain,2025-01-13
Gallotia,28.461428,-17.845406,Spain,2025-01-12
Gallotia,28.160582,-16.633831,Spain,2025-01-15
Gallotia,28.553809,-16.34825,Spain,2025-01-15
Gallotia,28.304865,-16.373963,Spain,2025-01-15
Gallotia,27.737106,-15.602765,Spain,2025-01-15
Gallotia,28.595278,-17.888658,Spain,2025-01-16
Gallotia,28.418016,-16.551527,Spain,2025-01-16
Gallotia,28.452719,-16.258293,Spain,2025-01-16
Gallotia,28.805028,-17.761295,Spain,2025-01-16
Gallotia,28.391244,-16.626667,Spain,2025-01-16
Gallotia,28.253095,-16.624433,Spain,2025-01-15
Gallotia,28.061086,-16.716536,Spain,2025-01-18
Gallotia,28.395602,-16.589739,Spain,2025-01-18
Gallotia,27.809104,-15.743993,Spain,2025-01-18
Gallotia,27.7616,-15.562333,Spain,2025-01-18
Gallotia,28.061092,-16.716453,Spain,2025-01-18
Gallotia,28.061025,-16.717203,Spain,2025-01-19
Gallotia,28.061539,-16.71594,Spain,2025-01-19
Gallotia,28.396962,-16.591208,Spain,2025-01-20
Gallotia,28.068799,-14.505455,Spain,2025-01-20
Gallotia,27.765431,-15.551362,Spain,2025-01-20
Gallotia,27.736202,-15.600935,Spain,2025-01-20
Gallotia,28.060971,-16.716385,Spain,2025-01-22
Gallotia,28.697242,-13.918938,Spain,2025-01-23
Gallotia,28.697287,-13.91893,Spain,2025-01-23
Gallotia,27.737075,-15.602628,Spain,2025-01-23
Gallotia,28.98078,-13.645457,Spain,2025-01-24
Gallotia,28.978272,-13.640883,Spain,2025-01-24
Gallotia,28.302567,-16.573477,Spain,2025-01-24
Gallotia,28.74,-13.88,Spain,2025-01-24
Gallotia,27.744027,-15.596748,Spain,2025-01-24
Gallotia,28.764297,-13.816197,Spain,2025-01-25
Fringilla polatzeki,27.882075,-15.481701,Spain,2025-01-04T16:24:23Z
Fringilla polatzeki,27.802805,-15.692988,Spain,2025-01-07T11:41Z
Fringilla polatzeki,27.840171,-15.540595,Spain,2025-04-15T16:02
Fringilla polatzeki,27.877188,-15.464955,Spain,2024-05-18T12:18
Fringilla polatzeki,27.92201,-15.417474,Spain,2024-05-18T12:18
Fringilla polatzeki,27.969639,-15.58254,Spain,2024-05-18T12:18
Fringilla polatzeki,27.922095,-15.530839,Spain,2024-05-18T12:18
Fringilla polatzeki,27.926935,-15.599161,Spain,2024-06-08T14:16
Fringilla polatzeki,27.815107,-15.510653,Spain,2024-06-08T14:15
Fringilla polatzeki,27.867041,-15.485931,Spain,2024-07-22T14:55
Fringilla polatzeki,27.886151,-15.476176,Spain,2024-07-22T14:58
Fringilla polatzeki,27.93321,-15.557823,Spain,2024-11-20T17:51:28Z
Fringilla polatzeki,27.850375,-15.60084,Spain,2024-11-26T12:26Z
Fringilla polatzeki,27.915867,-15.750314,Spain,2024-11-26T12:35Z
Fringilla polatzeki,27.942894,-15.55123,Spain,2024-11-26T15:12Z
Fringilla polatzeki,27.867441,-15.579773,Spain,2024-11-26T15:21Z
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-01-04
Fringilla polatzeki,27.970346,-15.612688,Spain,2023-01-08
Fringilla polatzeki,27.970346,-15.612688,Spain,2023-01-08
Fringilla polatzeki,27.944025,-15.694351,Spain,2023-01-01
Fringilla polatzeki,27.970346,-15.612688,Spain,2023-01-29
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-02-03
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-02-13
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-02-14
Fringilla polatzeki,27.951714,-15.65189,Spain,2023-02-16
Fringilla polatzeki,27.931227,-15.67752,Spain,2023-02-13
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-02-17
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-03-04
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-03-04
Fringilla polatzeki,27.966726,-15.583581,Spain,2023-03-09
Fringilla polatzeki,27.960989,-15.589557,Spain,2023-03-09
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-03-07
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-03-12
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-03-15
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-03-15
Fringilla polatzeki,27.951714,-15.65189,Spain,2023-03-20
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-03-18
Fringilla polatzeki,27.942646,-15.66897,Spain,2023-03-21
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-03-25
Fringilla polatzeki,27.923147,-15.670699,Spain,2023-03-26
Fringilla polatzeki,27.942646,-15.66897,Spain,2023-03-21
Fringilla polatzeki,27.951714,-15.65189,Spain,2023-03-20
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-05-06
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-05-13
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-05-29
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-05-31
Fringilla polatzeki,27.96127,-15.584363,Spain,2023-05-01
Fringilla polatzeki,27.936111,-15.666739,Spain,2023-05-01
Fringilla polatzeki,27.960382,-15.589264,Spain,2023-05-02
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-06-04
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-06-03
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-06-12
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-06-12
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-06-28
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-06-30
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-06-30
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-07-01
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-07-05
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-07-27
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-07-31
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-07-31
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-07-31
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-07-31
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-07-31
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-07-31
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-07-31
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-07-31
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-07-31
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-07-31
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-07-31
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-08-05
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-08-17
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-09-01
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-09-14
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-09-14
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-09-28
Fringilla polatzeki,27.958742,-15.590644,Spain,2023-10-09
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-11-07
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-11-08
Fringilla polatzeki,27.943987,-15.664331,Spain,2023-11-12
Fringilla polatzeki,27.931995,-15.676987,Spain,2023-11-13
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-11-14
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-11-14
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-11-17
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-11-30
Fringilla polatzeki,27.931995,-15.676987,Spain,2023-11-13
Fringilla polatzeki,27.82419,-15.450059,Spain,2023-12-16T14:13Z
Fringilla polatzeki,27.99083,-15.760116,Spain,2023-12-07T10:14:37Z
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-12-07
Fringilla polatzeki,27.951714,-15.65189,Spain,2023-12-09
Fringilla polatzeki,27.951714,-15.65189,Spain,2023-12-09
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-12-16
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-12-16
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-12-18
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-12-18
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-12-18
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-12-19
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-12-27
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-12-27
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-12-29
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-12-30
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-12-30
Fringilla polatzeki,27.951714,-15.65189,Spain,2022-01-03
Fringilla polatzeki,27.927622,-15.677665,Spain,2022-01-05
Fringilla polatzeki,27.966116,-15.584664,Spain,2022-01-05
Fringilla polatzeki,27.938354,-15.673881,Spain,2022-01-21
Fringilla polatzeki,27.963891,-15.670742,Spain,2022-02-20T13:26
