species,latitude,longitude,country,date,elevation,NDVI,temperature_C
Gallotia,29.157438,-13.431705,Spain,2025-01-01T14:39:59Z,26.0,3072.0,22.6
Gallotia,27.679537,-15.497489,Spain,2025-01-01T12:06Z,,,
Gallotia,28.00998,-15.724582,Spain,2025-01-03T13:40:21Z,692.0,2255.0,19.9
Gallotia,28.117675,-15.758494,Spain,2025-01-03T13:42:13Z,,,
Gallotia,28.52567,-14.005438,Spain,2025-01-03T13:20Z,175.0,1127.0,22.5
Gallotia,28.460133,-17.850492,Spain,2025-01-04T14:17:40Z,8.0,,22.8
Gallotia,28.057256,-16.721884,Spain,2025-01-04T16:51Z,29.0,,23.3
Gallotia,28.75055,-13.822814,Spain,2025-01-04T13:08:17Z,19.0,1492.0,23.1
Gallotia,28.77221,-17.766391,Spain,2025-01-05T14:06:43Z,277.0,7002.0,20.9
Gallotia,28.812733,-17.779926,Spain,2025-01-06T14:42:50Z,150.0,7868.0,22.5
Gallotia,28.796327,-17.794371,Spain,2025-01-06T10:00:13Z,628.0,8808.0,20.9
Gallotia,28.164688,-14.221788,Spain,2025-01-07T10:22:55Z,22.0,,23.3
Gallotia,28.832665,-17.847842,Spain,2025-01-07T12:02:20Z,90.0,6031.0,19.3
Gallotia,28.739536,-17.745954,Spain,2025-01-08,427.0,5196.0,22.7
Gallotia,28.694252,-17.782625,Spain,2025-01-08T13:38:26Z,272.0,6136.0,22.4
Gallotia,28.263408,-16.588572,Spain,2025-01-08T12:59:46Z,2282.0,858.0,10.8
Gallotia,28.482938,-17.851508,Spain,2025-01-09T13:22:10Z,562.0,,22.8
Gallotia,28.186071,-14.168441,Spain,2025-01-09,107.0,1956.0,23.4
Gallotia,28.759934,-17.869424,Spain,2025-01-09T10:55:45Z,2277.0,2326.0,13.3
Gallotia,28.793523,-17.926415,Spain,2025-01-09T16:45:39Z,1096.0,7546.0,16.5
Gallotia,28.79194,-17.926741,Spain,2025-01-09T16:28:56Z,1131.0,6887.0,16.5
Gallotia,28.75995,-17.862379,Spain,2025-01-09T13:49:13Z,2255.0,5953.0,13.3
Gallotia,28.645191,-17.758273,Spain,2025-01-10T13:16:30Z,23.0,4932.0,
Gallotia,28.742397,-13.825887,Spain,2025-01-10T15:10:03Z,-6.0,1413.0,23.1
Gallotia,28.451458,-16.255092,Spain,2025-01-10T14:16:41Z,36.0,,21.8
Gallotia,28.135253,-15.664917,Spain,2025-01-10T13:14Z,143.0,3263.0,22.4
Gallotia,28.19228,-15.412659,Spain,2025-01-09T14:29Z,,,23.2
Gallotia,28.452295,-16.256355,Spain,2025-01-10,36.0,,21.8
Gallotia,28.388704,-14.099982,Spain,2025-01-10T12:43:43Z,204.0,1343.0,21.7
Gallotia,28.182927,-14.164875,Spain,2025-01-09T13:27:21Z,58.0,3191.0,23.4
Gallotia,28.693306,-17.899323,Spain,2025-01-12T14:25:05Z,320.0,4461.0,19.5
Gallotia,28.653634,-17.780667,Spain,2025-01-11T13:07Z,294.0,5982.0,22.6
Gallotia,28.737544,-13.821919,Spain,2025-01-13T13:45:26Z,3.0,,23.1
Gallotia,28.305292,-16.566895,Spain,2025-01-11T15:28:40Z,2062.0,2028.0,12.0
Gallotia,28.651517,-17.774161,Spain,2025-01-14T09:52Z,257.0,5785.0,22.6
Gallotia,27.952124,-15.562299,Spain,2025-01-12T14:55:33Z,1300.0,5229.0,13.9
Gallotia,28.569851,-16.158518,Spain,2025-01-17T14:51:01Z,485.0,6929.0,20.4
Gallotia,28.36693,-16.722095,Spain,2025-01-15T13:02:56Z,219.0,4483.0,19.1
Gallotia,28.227338,-16.637925,Spain,2025-01-19T15:25:45Z,2059.0,1674.0,11.1
Gallotia,28.227378,-16.637971,Spain,2025-01-19T15:21:06Z,2059.0,1674.0,11.1
Gallotia,28.644636,-17.811176,Spain,2025-01-17T16:24Z,810.0,8384.0,18.7
Gallotia,28.718479,-17.928218,Spain,2025-01-17T15:33Z,1142.0,5754.0,16.8
Gallotia,28.607059,-17.92319,Spain,2025-01-17T15:32Z,8.0,1373.0,24.1
Gallotia,28.653748,-17.834286,Spain,2025-01-17T15:24Z,945.0,7507.0,18.7
Gallotia,28.609991,-17.824059,Spain,2025-01-17T14:57Z,1405.0,8761.0,17.0
Gallotia,28.690815,-17.903294,Spain,2025-01-17T14:57Z,273.0,5316.0,19.5
Gallotia,28.742015,-17.979456,Spain,2025-01-17T14:55Z,585.0,4263.0,20.3
Gallotia,28.710609,-17.945134,Spain,2025-01-17T14:53Z,732.0,4861.0,21.0
Gallotia,28.730886,-17.984647,Spain,2025-01-17T14:52Z,104.0,,21.0
Gallotia,28.725085,-17.941387,Spain,2025-01-17T14:47Z,1175.0,4530.0,16.8
