species,latitude,longitude,country,date,elevation,temperature,precipitation,NDVI
Gallotia,29.157438,-13.431705,Spain,2025-01-01T14:39:59Z,26.0,19.7,146.0,0.186
Gallotia,27.679537,-15.497489,Spain,2025-01-01T12:06Z,,,,
Gallotia,28.00998,-15.724582,Spain,2025-01-03T13:40:21Z,692.0,15.7,345.0,0.2740347826086957
Gallotia,28.117675,-15.758494,Spain,2025-01-03T13:42:13Z,,,,
Gallotia,28.52567,-14.005438,Spain,2025-01-03T13:20Z,175.0,19.0,129.0,0.10626086956521741
Gallotia,28.460133,-17.850492,Spain,2025-01-04T14:17:40Z,8.0,19.5,330.0,
Gallotia,28.057256,-16.721884,Spain,2025-01-04T16:51Z,29.0,20.4,274.0,0.17783846153846156
Gallotia,28.75055,-13.822814,Spain,2025-01-04T13:08:17Z,19.0,,,0.14275000000000002
Gallotia,28.77221,-17.766391,Spain,2025-01-05T14:06:43Z,277.0,18.3,392.0,0.6170869565217392
Gallotia,28.812733,-17.779926,Spain,2025-01-06T14:42:50Z,150.0,19.2,370.0,0.601313043478261
Gallotia,28.796327,-17.794371,Spain,2025-01-06T10:00:13Z,628.0,18.1,401.0,0.7095782608695652
Gallotia,28.164688,-14.221788,Spain,2025-01-07T10:22:55Z,22.0,20.1,99.0,0.22147272727272727
Gallotia,28.832665,-17.847842,Spain,2025-01-07T12:02:20Z,90.0,19.0,372.0,0.4646565217391304
Gallotia,28.739536,-17.745954,Spain,2025-01-08,427.0,18.1,398.0,0.5075739130434783
Gallotia,28.694252,-17.782625,Spain,2025-01-08T13:38:26Z,272.0,18.7,376.0,0.5117826086956522
Gallotia,28.263408,-16.588572,Spain,2025-01-08T12:59:46Z,2282.0,9.6,490.0,0.05839130434782609
Gallotia,28.482938,-17.851508,Spain,2025-01-09T13:22:10Z,562.0,17.9,378.0,
Gallotia,28.186071,-14.168441,Spain,2025-01-09,107.0,19.9,99.0,0.07130434782608697
Gallotia,28.759934,-17.869424,Spain,2025-01-09T10:55:45Z,2277.0,9.4,584.0,0.21378695652173915
Gallotia,28.793523,-17.926415,Spain,2025-01-09T16:45:39Z,1096.0,14.8,482.0,0.605995652173913
Gallotia,28.79194,-17.926741,Spain,2025-01-09T16:28:56Z,1131.0,14.8,482.0,0.5790913043478261
